"Kod";"Nazwa";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1400000;"MAZOWIECKIE";"studenci kobiety";"2021";142434;"osoba";"";
1400000;"MAZOWIECKIE";"studenci kobiety";"2022";148086;"osoba";"";
1400000;"MAZOWIECKIE";"studenci kobiety";"2023";161815;"osoba";"";
1400000;"MAZOWIECKIE";"studenci kobiety";"2024";160522;"osoba";"";
1400000;"MAZOWIECKIE";"studenci mężczyźni";"2019";110245;"osoba";"";
1400000;"MAZOWIECKIE";"studenci mężczyźni";"2020";111059;"osoba";"";
1400000;"MAZOWIECKIE";"studenci mężczyźni";"2021";112220;"osoba";"";
1400000;"MAZOWIECKIE";"studenci mężczyźni";"2022";116938;"osoba";"";
1400000;"MAZOWIECKIE";"studenci mężczyźni";"2023";121137;"osoba";"";
1400000;"MAZOWIECKIE";"studenci mężczyźni";"2024";123595;"osoba";"";
1600000;"OPOLSKIE";"studenci kobiety";"2019";12227;"osoba";"";
1600000;"OPOLSKIE";"studenci kobiety";"2020";12320;"osoba";"";
1600000;"OPOLSKIE";"studenci kobiety";"2021";12340;"osoba";"";
1600000;"OPOLSKIE";"studenci kobiety";"2022";11954;"osoba";"";
1600000;"OPOLSKIE";"studenci kobiety";"2023";12018;"osoba";"";
1600000;"OPOLSKIE";"studenci kobiety";"2024";12584;"osoba";"";
1600000;"OPOLSKIE";"studenci mężczyźni";"2019";9017;"osoba";"";
1600000;"OPOLSKIE";"studenci mężczyźni";"2020";9008;"osoba";"";
1600000;"OPOLSKIE";"studenci mężczyźni";"2021";8676;"osoba";"";
1600000;"OPOLSKIE";"studenci mężczyźni";"2022";9588;"osoba";"";
1600000;"OPOLSKIE";"studenci mężczyźni";"2023";8899;"osoba";"";
1600000;"OPOLSKIE";"studenci mężczyźni";"2024";9068;"osoba";"";
1800000;"PODKARPACKIE";"studenci kobiety";"2019";25868;"osoba";"";
1800000;"PODKARPACKIE";"studenci kobiety";"2020";26162;"osoba";"";
1800000;"PODKARPACKIE";"studenci kobiety";"2021";26323;"osoba";"";
1800000;"PODKARPACKIE";"studenci kobiety";"2022";25576;"osoba";"";
1800000;"PODKARPACKIE";"studenci kobiety";"2023";25501;"osoba";"";
1800000;"PODKARPACKIE";"studenci kobiety";"2024";26124;"osoba";"";
1800000;"PODKARPACKIE";"studenci mężczyźni";"2019";20131;"osoba";"";
1800000;"PODKARPACKIE";"studenci mężczyźni";"2020";19642;"osoba";"";
1800000;"PODKARPACKIE";"studenci mężczyźni";"2021";19056;"osoba";"";
1800000;"PODKARPACKIE";"studenci mężczyźni";"2022";18853;"osoba";"";
1800000;"PODKARPACKIE";"studenci mężczyźni";"2023";18867;"osoba";"";
1800000;"PODKARPACKIE";"studenci mężczyźni";"2024";19510;"osoba";"";
