"Kod";"Nazwa";"Stypendia";"Typy instytucji";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0800000;"LUBUSKIE";"stypendium socjalne";"uczelnie ogółem";"2019";921;"osoba";"";
0800000;"LUBUSKIE";"stypendium socjalne";"uczelnie ogółem";"2020";647;"osoba";"";
0800000;"LUBUSKIE";"stypendium socjalne";"uczelnie ogółem";"2021";450;"osoba";"";
0800000;"LUBUSKIE";"stypendium socjalne";"uczelnie ogółem";"2022";413;"osoba";"";
0800000;"LUBUSKIE";"stypendium socjalne";"uczelnie ogółem";"2023";400;"osoba";"";
0800000;"LUBUSKIE";"stypendium socjalne";"uczelnie ogółem";"2024";382;"osoba";"";
0800000;"LUBUSKIE";"stypendium rektora";"uczelnie ogółem";"2019";809;"osoba";"";
0800000;"LUBUSKIE";"stypendium rektora";"uczelnie ogółem";"2020";801;"osoba";"";
0800000;"LUBUSKIE";"stypendium rektora";"uczelnie ogółem";"2021";797;"osoba";"";
0800000;"LUBUSKIE";"stypendium rektora";"uczelnie ogółem";"2022";778;"osoba";"";
0800000;"LUBUSKIE";"stypendium rektora";"uczelnie ogółem";"2023";724;"osoba";"";
0800000;"LUBUSKIE";"stypendium rektora";"uczelnie ogółem";"2024";763;"osoba";"";
0800000;"LUBUSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2019";;"osoba";"";
0800000;"LUBUSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2020";;"osoba";"";
0800000;"LUBUSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2021";;"osoba";"";
0800000;"LUBUSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2022";;"osoba";"";
0800000;"LUBUSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2023";303;"osoba";"";
0800000;"LUBUSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2024";348;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium socjalne";"uczelnie ogółem";"2019";5186;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium socjalne";"uczelnie ogółem";"2020";4155;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium socjalne";"uczelnie ogółem";"2021";3658;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium socjalne";"uczelnie ogółem";"2022";3074;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium socjalne";"uczelnie ogółem";"2023";2868;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium socjalne";"uczelnie ogółem";"2024";2691;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium rektora";"uczelnie ogółem";"2019";5630;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium rektora";"uczelnie ogółem";"2020";5684;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium rektora";"uczelnie ogółem";"2021";5758;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium rektora";"uczelnie ogółem";"2022";5643;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium rektora";"uczelnie ogółem";"2023";6089;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium rektora";"uczelnie ogółem";"2024";5685;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2019";;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2020";;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2021";;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2022";;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2023";1123;"osoba";"";
1000000;"ŁÓDZKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2024";1209;"osoba";"";
1200000;"MAŁOPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2019";13710;"osoba";"";
1200000;"MAŁOPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2020";10981;"osoba";"";
1200000;"MAŁOPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2021";9526;"osoba";"";
