"Kod";"Nazwa";"Stypendia";"Typy instytucji";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium socjalne";"uczelnie ogółem";"2021";1852;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium socjalne";"uczelnie ogółem";"2022";1440;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium socjalne";"uczelnie ogółem";"2023";1285;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium socjalne";"uczelnie ogółem";"2024";1470;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium rektora";"uczelnie ogółem";"2019";1925;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium rektora";"uczelnie ogółem";"2020";2078;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium rektora";"uczelnie ogółem";"2021";1934;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium rektora";"uczelnie ogółem";"2022";1785;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium rektora";"uczelnie ogółem";"2023";1584;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium rektora";"uczelnie ogółem";"2024";1434;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2019";;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2020";;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2021";;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2022";;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2023";483;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2024";513;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2019";8124;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2020";6023;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2021";4611;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2022";3825;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2023";3571;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium socjalne";"uczelnie ogółem";"2024";3645;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2019";9799;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2020";10496;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2021";10848;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2022";10092;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2023";10076;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium rektora";"uczelnie ogółem";"2024";10724;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2019";;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2020";;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2021";;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2022";;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2023";1719;"osoba";"";
3000000;"WIELKOPOLSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2024";1923;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium socjalne";"uczelnie ogółem";"2019";2205;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium socjalne";"uczelnie ogółem";"2020";1497;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium socjalne";"uczelnie ogółem";"2021";1180;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium socjalne";"uczelnie ogółem";"2022";964;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium socjalne";"uczelnie ogółem";"2023";1009;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium socjalne";"uczelnie ogółem";"2024";1061;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium rektora";"uczelnie ogółem";"2019";3112;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium rektora";"uczelnie ogółem";"2020";2979;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium rektora";"uczelnie ogółem";"2021";3184;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium rektora";"uczelnie ogółem";"2022";2851;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium rektora";"uczelnie ogółem";"2023";3017;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium rektora";"uczelnie ogółem";"2024";3046;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2019";;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2020";;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2021";;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2022";;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2023";396;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2024";453;"osoba";"";
